"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139946","Settings","","2026-05-26","broken","2026-05-26","","","",""
"","172508","Linking a new legal entity supplier","","2026-05-26","broken","2026-05-26","","","",""
"","56988","Regimen types management","","2026-05-25","passed","2026-05-25","","","",""
"","22233","Population management","","2026-05-25","broken","2026-05-25","","","",""
"","20119","CIE 10","","2026-05-26","failed","2026-05-26","","","",""
"","39243","Warehouse","","2026-05-26","broken","2026-05-26","","","",""
"","30041","Justifications","","2026-05-26","broken","2026-05-26","","","",""
"","20022","Medical Leaves","","2026-05-26","failed","2026-05-26","","","",""
"","13","Impairement of receivables management","","2026-05-26","passed","2026-05-26","","","",""
"","34314","Accounting periods","","2026-05-25","passed","2026-05-25","","","",""
"","163555","Code types management","","2026-05-25","broken","2026-05-25","","","",""
"","26037","Setting motif","","2026-05-26","passed","2026-05-26","","","",""
"","146979","The user views the patient medical history","","2026-05-26","broken","2026-05-26","","","",""
"","72301","Payment methods management","","2026-05-25","passed","2026-05-25","","","",""
"","19920","User updates the general parameters in TM surgery","","2026-05-26","broken","2026-05-26","","","",""
"","86786","User logout","","2026-05-26","broken","2026-05-26","","","",""
"","35320","Services management","","2026-05-25","broken","2026-05-25","","","",""
"","19898","work environment","","2026-05-26","broken","2026-05-26","","","",""
"","147055","Approve_disability","","2026-05-26","broken","2026-05-26","","","",""
"","165797","type of payment","","2026-05-26","broken","2026-05-26","","","",""
"","165348","Cost center management","","2026-05-25","broken","2026-05-25","","","",""
"","147815","Work Environment","","2026-05-26","broken","2026-05-26","","","",""
"","20025","employment letter","","2026-05-26","failed","2026-05-26","","","",""
"","147089","user downloads settlement history","","2026-05-26","broken","2026-05-26","","","",""
"","35824","Plan contract management","","2026-05-25","broken","2026-05-25","","","",""
"","145820","Collection letter management","","2026-05-26","broken","2026-05-26","","","",""
"","43002","Sub-specialty management","","2026-05-25","broken","2026-05-25","","","",""
"","136538","Functional units management","","2026-05-25","broken","2026-05-25","","","",""
"","56402","Sale Services","","2026-05-26","passed","2026-05-26","","","",""
"","39997","Payroll parameters creation","","2026-05-26","passed","2026-05-26","","","",""
"","150728","Employee management","","2026-05-25","broken","2026-05-25","","","",""
"","140049","User Payroll Accounting Voucher in accounting","","2026-05-26","broken","2026-05-26","","","",""
"","38786","Article management","","2026-05-25","broken","2026-05-25","","","",""
"","51279","Authorization types management","","2026-05-25","passed","2026-05-25","","","",""
"","20029","cie 10","","2026-05-26","failed","2026-05-26","","","",""
"","151622","Prioritize bills to be paid","","2026-05-26","broken","2026-05-26","","","",""
"","134897","Headquarters creation","","2026-05-25","failed","2026-05-25","","","",""
"","58289","Dependency management","","2026-05-25","passed","2026-05-25","","","",""
"","19935","Diagnostic Aid Services","","2026-05-26","broken","2026-05-26","","","",""
"","130978","Roles management","","2026-05-25","broken","2026-05-25","","","",""
"","20054","Service package configuration","","2026-05-26","broken","2026-05-26","","","",""
"","20154","look for payment slip","","2026-05-26","failed","2026-05-26","","","",""
"","63306","Objections","","2026-05-26","passed","2026-05-26","","","",""
"","19962","Extended diagnostics","","2026-05-26","broken","2026-05-26","","","",""
"","52468","Franchises","","2026-05-25","passed","2026-05-25","","","",""
"","147064","Non Institutional","","2026-05-26","broken","2026-05-26","","","",""
"","20001","work supplies","","2026-05-26","failed","2026-05-26","","","",""
"","73695","User logout","","2026-05-26","broken","2026-05-26","","","",""
"","147057","authorize vacations","","2026-05-26","broken","2026-05-26","","","",""
"","75067","Resolution management","","2026-05-25","passed","2026-05-25","","","",""
"","20044","Earnings sheet","","2026-05-26","failed","2026-05-26","","","",""
"","55381","Type of credit card payments","","2026-05-26","passed","2026-05-26","","","",""
"","66385","Specialty management","","2026-05-25","passed","2026-05-25","","","",""
"","19948","Institutional predefined text","","2026-05-26","broken","2026-05-26","","","",""
"","127196","Attend to patient","","2026-05-26","broken","2026-05-26","","","",""
